questionSerialNo,question,optionA,optionB,optionC,optionD,correctOption,markForQuestion
1,Which of these is a mode of information transmission?,Modern Transmission,Fonic Transmission,Fonic Transmission,Synchronous transmission,A,0.25
2,The process of transferring something from one location to another location is,Information,Transfigure,Transfigure,Transmission,A,0.25
3,Mode of information that does not require signal timing is referred to as,Modeling Transmission,Asynchronous Transmission,Asynchronous Transmission,Asynchronous Transmission,A,0.25
4,An example of synchronous transmission  is,picture message,transmission,transmission,video conferencing,A,0.25
5,The  method of information transmission used for sending smoke signals in  order to alert one another of an approaching enemy in the ancient time is ___,War signal,light signal,light signal,Fire lighting,A,0.25
6,The result of a processed data in a computer is known as____,Information,database,database,Information,A,0.25
7,The primary means of making  announcement  to a community in the ancient time is______,town crying,whistling,whistling,town crying,A,0.25
8,The modes of information transmission are_____,Chronous and Asynchronous,Synchronous and Antichronous,Synchronous and Antichronous,Synchronous and Asynchronous,A,0.25
9,Which of these is an ancient method of transmitting information?,drum beating,telex,telex,drum beating,A,0.25
10,The singular form of DATA is called _____,TRANSFORMATION,TRANSLATOR,TRANSLATOR,DATUM,A,0.25
11,The method of communication in the olden days without electronic medium is called_________Method,transmission,olden days,olden days,Ancient,A,0.25
12,The process that requires signal timing for a constant and reliable transmission of data such as real time video or voice is_________,Modern Transmission,ancient transmission,ancient transmission,Synchronous transmission,A,0.25
13,The passing on or publishing of information to someone or a group of people to get the right responses is___________,Information Transmission,Information Interchange,Information Interchange,Information Transmission,A,0.25
14,All the following are examples of ancient method of transmitting information except?,printing,fire lighting,fire lighting,printing,A,0.25
15,Synchronous Transmission is the opposite of_______,fire lighting,asynchronous,asynchronous,asynchronous,A,0.25
16,The ancient method of information transmission that involves sending messages to people through the use of mouth conversation is known as_______,oral method,shouting,shouting,oral method,A,0.25
17,"________was used to inform the villagers of certain events such as hunting, farming, death announcement",drawing diagrams,drum beating,drum beating,drum beating,A,0.25
